name,activity_date,activity_headline,activity_description,activity_source,activity_url,activity_type,full_text,strategy_insights,leadership_changes,news_presence_score
DNS Capital,2025-01-15,"Vermillio Secures $16 Million Funding From Sony Music, DNS Capital","Vermillio, an AI licensing and protection platform, secured $16 million in series A funding from Sony Music and DNS Capital.",Variety,https://variety.com/2025/music/news/vermillio-sony-music-dns-capital-16-million-funding-1236326448/,fundraising,,"DNS Capital continues to focus on long-term investments in technology companies, particularly those developing AI and innovative solutions.",No significant leadership changes reported in the past 10 years.,8
DNS Capital,2021-02-17,Recogni Raises $48.9 Million Series B Investment Led by WRVI,"Recogni, a company focused on AI solutions, raised $48.9 million from several investors including DNS Capital.",DNS Capital Press Release,https://www.dnscap.com/2021/02/17/recogni-raises-48-9-million-series-b-investment-led-by-wrvi-capital/,investment,,"DNS Capital continues to focus on long-term investments in technology companies, particularly those developing AI and innovative solutions.",No significant leadership changes reported in the past 10 years.,8
Gresham Partners,2023-03-22,Gresham Partners Launches New Fund,Gresham Partners announced the launch of its latest investment fund focused on private equity.,Gresham Partners,https://www.greshampartners.com/press-release,fundraising,,"Gresham Partners remains focused on wealth management and private equity, continuously seeking innovative investment opportunities.",No significant leadership changes reported.,6
Bessemer Trust,,,,,,,,Bessemer Trust continues to offer comprehensive wealth management services while emphasizing diversification.,No reported changes in leadership.,5
Promus Holdings,,,,,,,,Promus Holdings is focused on private equity investments and continues to explore growth sectors.,No leadership changes reported in recent years.,4
APFamily,,,,,,,,APFamily is focusing on multi-strategy investments and is keen on real estate opportunities.,No significant changes reported.,3
Henry Family Office,,,,,,,,Henry Family Office maintains a diversified approach across various asset classes.,No leadership changes reported.,3
Gibney & Company,,,,,,,,"Focusing on wealth management, Gibney & Co. has been actively engaging with high-net-worth clients.",No significant leadership changes reported.,2
Chicago Capital,,,,,,,,"Chicago Capital remains centered on advising wealthy clients, aligning their investments with client expectations.",No leadership changes reported.,2
Beverly Capital,,,,,,,,Beverly Capital is dedicated to managing private investments and optimizing portfolio performance.,No significant leadership changes reported.,2
