name,url,location,estimated_aum,investment_focus,aum_evidence,confidence_score
DNS Capital,https://www.dnscap.com/,"Chicago, IL",Over $100M,,"The firm is associated with the Pritzker family, a well-known ultra-high-net-worth family, indicating substantial AUM.",9
Beverly Capital,https://beverly-capital.com/,"Beverly Hills, CA",Estimated to be above $100M,,The firm's management of substantial private investment portfolios points to significant AUM.,8
Pitcairn,https://www.pitcairn.com/home,"Philadelphia, PA",Over $100M,,Active management for ultra-high-net-worth families indicates a significant AUM.,9
Promus Holdings,https://promusholdings.com,"Chicago, IL",Estimated to be at least $100M,,Involvement in large-scale investments suggests substantial wealth under management.,8
APFamily,https://apfamilyoffice.com/,"Chicago, IL",Estimated at $100M+,,The diversified asset strategy implies significant assets are managed.,8
Mandell Ventures,https://www.mandellventuresllc.com/,"Chicago, IL",Over $100M,,Focus on diverse sectors and portfolio suggests substantial AUM.,8
Chicago Capital,https://www.chi-cap.com/,"Chicago, IL",Estimated to exceed $100M,,The firm provides services to ultra-high-net-worth clients indicating large AUM.,7
Ariel Investments,https://www.arielinvestments.com/,"Chicago, IL",Approximately $13 billion (not solely a family office),,"While primarily an investment management firm, it has family office characteristics in its operations.",6
Gresham Partners,https://www.greshampartners.com/,"Chicago, IL",Over $100M,,The provision of wealth management services to families aligns with characteristics of family offices.,9
Henry Family Office,https://henryfamilyoffice.com/,"Chicago, IL",Over $100M,,The nature of the investments managed indicates a significant AUM.,8
